User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000001,F,52,10,A,2,0
1000002,M,29,16,C,4+,0
1000003,M,54,15,A,3,0
1000004,M,26,7,B,2,1
1000005,M,27,20,A,1,1
1000006,F,55,9,A,1,0
1000007,M,61,1,B,1,1
1000008,M,62,12,C,4+,1
1000009,M,32,17,C,0,0
1000010,F,45,1,B,4+,1
1000011,F,59,1,C,1,0
1000012,M,55,12,C,2,0
1000013,M,32,1,C,3,1
1000014,M,41,0,C,0,0
1000015,M,30,7,A,1,0
1000016,F,65,0,C,0,1
1000017,M,64,1,C,0,0
1000018,F,28,3,B,3,0
1000019,M,51,10,A,3,0
1000021,M,24,16,B,0,0
1000022,M,55,15,A,4+,0
1000023,M,32,0,B,3,1
1000024,F,55,7,A,3,1
1000025,M,30,4,C,4+,0
1000026,M,25,7,B,2,1
1000027,M,31,11,C,1,1
1000028,F,62,1,C,2,1
1000029,M,20,7,C,1,0
1000030,F,64,7,C,3,0
1000031,M,29,7,C,2,0
1000032,F,58,0,C,3,1
1000033,M,54,3,A,1,1
1000034,F,33,0,A,0,0
1000035,M,28,1,C,4+,1
1000036,M,22,3,B,0,0
1000037,F,25,9,C,1,0
1000039,M,33,4,B,2,0
1000041,F,21,4,C,3,0
1000042,M,35,8,C,0,1
1000043,M,64,12,A,0,0
1000044,M,37,17,B,3,1
1000045,F,18,16,A,1,1
1000046,M,40,19,C,4+,0
1000047,M,59,4,C,4+,1
1000048,M,26,4,B,3,1
1000049,M,28,12,C,4+,1
1000050,F,50,2,A,1,1
1000051,F,62,10,C,2,0
1000052,M,24,4,C,0,0
1000053,M,21,0,B,1,0
1000054,M,19,1,C,4+,1
1000056,M,45,20,C,0,1
1000057,M,19,19,C,2,0
1000058,M,40,2,B,3,0
1000059,F,30,1,B,4+,1
1000060,M,42,1,C,1,1
1000061,M,63,17,C,1,0
1000062,F,23,3,A,1,0
1000063,M,36,4,C,2,0
1000064,M,42,1,A,1,1
1000065,M,60,12,C,2,1
1000066,M,29,18,C,2,0
1000067,F,52,5,C,4+,1
1000068,M,51,4,A,0,0
1000069,F,44,1,A,1,0
1000070,M,58,4,A,2,0
1000071,M,49,14,A,0,1
1000072,F,52,0,B,1,1
1000073,M,56,4,A,4+,0
1000074,M,24,14,A,2,1
1000075,F,50,10,C,4+,0
1000076,M,51,7,B,2,1
1000077,M,52,4,C,2,0
1000078,F,56,1,C,0,1
1000079,F,56,0,A,1,0
1000080,M,61,1,C,3,1
1000081,F,63,0,A,1,1
1000082,M,29,17,C,2,1
1000083,F,26,2,C,1,0
1000084,M,47,4,C,1,0
1000085,M,49,4,C,1,0
1000086,F,24,10,C,3,0
1000087,M,25,14,C,2,0
1000088,F,27,1,C,1,1
1000089,F,38,9,C,1,1
1000090,M,35,13,C,1,0
1000091,M,64,7,C,3,1
1000092,F,55,4,B,1,0
1000093,M,52,17,B,1,1
1000094,M,35,17,C,1,0
1000095,M,28,0,C,4+,1
1000096,F,32,16,C,2,1
1000097,F,48,3,C,3,0
1000099,F,50,10,C,1,0
1000100,M,27,17,C,4+,0
1000101,F,18,3,A,1,0
1000102,M,53,19,C,3,0
1000103,M,27,7,B,2,1
1000105,M,49,12,C,1,1
1000106,F,45,11,C,4+,0
1000107,M,24,18,C,4+,0
1000108,M,39,12,C,3,0
1000109,M,53,15,C,1,1
1000110,M,57,2,B,4+,0
1000111,M,23,15,C,3,0
1000112,M,51,16,C,3,1
1000113,M,64,12,C,2,0
1000114,F,25,2,C,0,0
1000116,M,60,17,C,2,1
1000117,M,21,17,A,2,1
1000118,M,56,17,C,4+,0
1000119,F,23,10,C,1,0
1000120,M,28,11,C,0,0
1000121,M,20,7,C,2,0
1000122,F,55,4,C,1,0
1000123,M,44,9,B,4+,1
1000124,M,47,7,C,1,1
1000125,M,51,14,B,3,1
1000126,M,45,9,B,1,0
1000127,F,33,3,C,1,1
1000128,M,44,6,A,1,1
1000129,M,59,11,C,2,0
1000130,M,32,17,B,3,1
1000131,M,50,4,C,4+,0
1000132,M,29,17,C,1,0
1000133,F,18,0,C,1,1
1000134,M,20,0,C,3,1
1000135,M,60,4,C,1,1
1000136,M,52,2,B,3,0
1000137,F,21,6,C,4+,1
1000138,M,51,20,C,1,1
1000139,F,59,20,C,2,0
1000140,F,50,1,B,3,0
1000142,M,34,7,A,2,0
1000143,M,58,3,C,0,0
1000145,M,54,4,C,4+,0
1000146,F,41,20,B,3,1
1000147,M,25,4,B,4+,0
1000148,M,62,17,B,3,1
1000149,M,53,1,B,2,1
1000150,M,31,7,B,0,1
1000151,F,49,20,A,1,1
1000152,M,37,4,A,3,0
1000153,M,60,10,C,0,0
1000154,M,52,20,A,4+,1
1000155,M,47,12,C,4+,1
1000156,F,39,7,C,4+,1
1000157,M,48,16,A,1,0
1000158,M,56,7,C,2,1
1000159,F,38,0,A,1,1
1000160,M,39,7,C,3,0
1000161,M,31,16,C,4+,1
1000162,F,45,4,C,4+,0
1000163,M,29,4,A,1,0
1000165,M,56,16,A,1,0
1000166,M,56,4,B,1,1
1000169,M,24,7,B,3,0
1000170,M,33,11,C,1,1
1000171,F,37,17,B,1,1
1000172,M,46,3,C,2,0
1000173,M,21,0,B,1,1
1000174,M,57,16,C,2,0
1000175,F,28,2,B,1,0
1000176,F,51,3,C,1,0
1000177,M,40,1,B,3,1
1000178,M,41,17,A,2,1
1000179,M,45,0,A,1,0
1000180,M,63,12,C,4+,0
1000181,M,65,17,C,1,0
1000182,M,36,4,C,0,0
1000183,F,65,1,B,1,1
1000184,F,59,0,C,4+,1
1000185,M,43,0,C,0,0
1000186,M,31,5,C,0,0
1000187,F,44,1,B,1,0
1000188,M,41,16,C,2,0
1000190,M,24,17,A,1,0
1000191,M,39,4,C,1,1
1000192,M,49,1,B,2,0
1000193,F,64,15,C,1,1
1000194,F,52,10,C,3,0
1000195,M,34,12,B,4+,1
1000196,F,33,9,C,4+,0
1000197,M,51,14,A,3,0
1000198,M,54,12,A,0,1
1000199,M,32,4,B,1,0
1000200,F,57,4,C,0,0
1000201,F,37,2,A,1,0
1000202,M,25,4,A,3,0
1000203,F,63,4,B,1,1
1000204,M,26,7,B,1,1
1000205,M,62,12,A,1,0
1000206,M,31,17,C,1,0
1000208,M,59,17,C,1,1
1000209,M,20,1,B,4+,0
1000210,F,56,10,C,0,0
1000211,M,33,17,C,1,1
1000212,M,65,16,C,3,0
1000214,M,46,20,C,1,0
1000215,M,37,14,C,1,1
1000216,M,23,13,B,1,0
1000217,M,32,4,A,1,0
1000218,M,55,14,C,3,1
1000219,F,58,4,A,0,0
1000220,M,52,12,A,3,0
1000221,F,35,0,B,2,1
1000222,M,30,1,A,1,0
1000223,M,41,17,B,4+,0
1000225,M,20,7,A,0,0
1000227,M,63,20,B,0,0
1000228,M,32,15,A,1,0
1000229,M,33,10,C,1,0
1000230,M,23,1,C,1,0
1000231,M,18,3,A,1,0
1000232,M,39,20,A,1,1
1000233,F,36,20,C,2,1
1000234,M,42,7,C,2,0
1000235,M,42,0,B,0,0
1000236,M,65,5,B,2,0
1000237,M,50,6,C,1,1
1000238,F,30,7,B,0,0
1000239,M,22,19,A,1,0
1000240,M,29,17,A,1,1
1000242,F,47,4,A,3,0
1000243,M,63,16,C,1,0
1000244,M,20,7,B,3,1
1000245,M,49,16,B,0,0
1000246,F,29,4,C,1,0
1000249,F,47,14,C,2,0
1000250,M,63,16,C,1,0
1000251,M,52,17,A,0,1
1000252,M,20,12,C,3,0
1000253,F,33,11,C,1,0
1000254,M,52,17,C,4+,0
1000255,M,63,0,C,1,1
1000256,M,59,16,C,3,0
1000257,M,35,18,A,1,0
1000258,M,31,7,C,0,1
1000259,M,23,1,B,4+,0
1000260,M,32,19,C,1,0
1000261,M,23,20,A,4+,0
1000262,F,32,1,C,1,0
1000263,F,41,7,C,1,0
1000264,M,39,0,B,1,1
1000265,F,47,7,A,4+,1
1000266,M,57,11,C,3,0
1000267,M,35,12,C,1,1
1000268,F,39,12,C,1,0
1000269,M,25,2,A,1,1
1000270,M,51,14,B,2,1
1000271,M,61,4,C,1,0
1000272,M,49,0,A,1,0
1000273,M,31,4,B,2,1
1000274,M,64,4,A,4+,0
1000275,M,32,0,C,3,1
1000276,M,44,16,C,4+,0
1000278,M,49,18,C,4+,1
1000279,M,47,14,C,3,0
1000280,M,60,7,C,0,1
1000281,F,21,0,A,2,0
1000282,M,25,17,C,4+,1
1000284,M,33,12,B,3,1
1000285,F,32,0,A,1,0
1000287,M,65,13,B,1,1
1000289,F,50,0,C,1,0
1000291,M,51,12,B,2,0
1000292,M,22,7,C,0,1
1000293,M,46,1,C,1,1
1000295,M,44,0,C,4+,0
1000296,M,32,5,C,4+,1
1000297,M,60,2,C,3,1
1000298,F,20,4,C,2,0
1000299,M,64,12,C,4+,0
1000300,M,56,7,B,4+,1
1000301,M,31,4,B,4+,0
1000302,M,49,4,B,4+,0
1000303,M,48,7,C,1,1
1000304,M,34,0,B,1,0
1000305,F,38,0,B,3,1
1000306,M,36,0,C,3,0
1000307,M,29,16,B,0,1
1000308,M,55,2,A,3,1
1000309,M,31,4,B,1,0
1000310,F,18,4,C,1,0
1000311,M,21,4,C,3,1
1000312,F,64,2,B,0,0
1000313,F,31,4,A,4+,0
1000314,F,65,9,C,1,0
1000315,F,37,1,A,3,1
1000316,M,28,13,C,1,0
1000318,F,34,13,A,1,1
1000319,F,23,6,B,3,1
1000320,M,51,6,C,4+,0
1000321,M,30,4,B,3,0
1000322,M,23,17,A,3,1
1000323,M,62,12,C,1,0
1000324,M,57,17,B,0,1
1000325,F,49,3,A,1,0
1000326,M,57,11,B,1,1
1000327,M,63,18,C,4+,0
1000328,M,20,12,C,2,0
1000329,M,22,7,A,1,0
1000330,M,41,7,C,2,0
1000331,M,48,7,B,1,0
1000332,M,34,1,C,3,1
1000333,M,32,2,A,0,1
1000334,F,18,2,A,3,1
1000335,M,38,18,C,0,1
1000336,M,28,0,C,4+,0
1000337,M,35,19,C,0,0
1000338,M,60,7,A,1,0
1000339,M,19,7,C,1,1
1000340,F,36,3,C,1,1
1000342,M,44,12,C,4+,0
1000343,F,44,3,B,2,0
1000344,M,32,14,C,1,1
1000345,M,57,12,A,2,1
1000346,F,24,0,B,2,0
1000347,F,20,1,A,1,0
1000348,M,36,7,B,2,1
1000349,M,39,10,C,0,0
1000350,M,43,20,C,3,0
1000351,M,21,4,A,4+,0
1000352,M,29,4,A,0,0
1000353,F,18,7,C,1,1
1000354,M,27,1,A,1,0
1000355,M,52,3,B,2,0
1000356,M,59,20,C,0,1
1000357,M,28,0,A,4+,0
1000359,M,31,17,B,1,0
1000360,M,32,17,C,1,0
1000362,M,36,20,B,1,0
1000363,M,30,10,B,1,1
1000365,F,44,4,A,1,0
1000366,M,52,15,B,1,1
1000368,M,28,0,C,1,0
1000369,M,40,1,B,2,0
1000370,M,20,17,C,3,0
1000371,M,43,4,B,4+,0
1000372,F,36,4,C,2,0
1000374,F,47,14,C,0,0
1000375,M,34,2,B,1,0
1000376,M,27,1,C,4+,1
1000377,M,34,17,B,2,0
1000379,F,30,1,C,4+,0
1000380,M,50,2,C,1,0
1000381,M,57,17,C,2,0
1000382,F,50,20,B,0,1
1000383,F,59,7,A,4+,1
1000384,M,48,11,B,3,1
1000385,M,62,6,C,1,0
1000386,M,48,0,A,1,1
1000387,F,25,7,C,0,0
1000388,F,34,0,B,3,1
1000389,M,45,6,C,0,0
1000390,M,24,4,A,0,0
1000391,M,33,11,C,2,1
1000392,M,34,7,A,0,0
1000393,M,33,17,C,4+,0
1000394,M,23,0,C,1,0
1000396,M,53,1,C,1,0
1000397,M,38,17,B,2,0
1000398,M,41,17,B,3,1
1000399,F,39,6,B,1,1
1000400,F,45,3,C,2,1
1000401,M,28,0,B,3,0
1000402,M,55,11,B,1,1
1000403,M,58,4,A,2,0
1000405,M,51,1,C,2,0
1000406,M,25,20,A,3,0
1000408,M,35,11,A,0,0
1000409,M,59,12,B,4+,0
1000410,F,34,1,B,4+,0
1000411,F,31,1,B,0,1
1000412,M,28,15,A,1,1
