date,TRUNR,TRONR,TRGRWT,CDS
2018-06-30,,19.25,,322.55
2018-05-31,,18,109.9,267.37
2018-04-30,,9.25,111.2,193.53
2018-03-31,10.1,9.25,111.9,191.4
2018-02-28,10.6,9.25,110.8,166.33
2018-01-31,10.8,9.25,108.3,165.75
2017-12-31,10.4,9.25,103.3,166.6
2017-11-30,10.3,9.25,106.3,197.6
2017-10-31,10.3,9.25,109.5,184.38
2017-09-30,10.6,9.25,111.6,184.28
2017-08-31,10.6,9.25,110.7,159.8
2017-07-31,10.7,9.25,109.5,181.55
2017-06-30,10.2,9.25,112.4,193.209
2017-05-31,10.2,9.25,109.2,196.02
2017-04-30,10.5,9.25,111.2,203.89
2017-03-31,11.7,9.25,108.9,235.39
2017-02-28,12.6,9.25,105.9,237.89
2017-01-31,13,9.25,97.1,262.47
2016-12-31,12.7,8.5,97.6,268.3
2016-11-30,12.1,8.5,103.5,283.2
2016-10-31,11.8,8.25,101,251.74
2016-09-30,11.3,8.25,106.1,258
2016-08-31,11.3,8.5,102.2,241.63
2016-07-31,10.7,8.75,108,271.66
2016-06-30,10.2,9,107.7,239.6
2016-05-31,9.4,9.5,110.2,264.46
2016-04-30,9.3,10,110.5,236.2
2016-03-31,10.1,10.5,107.2,252.92
2016-02-29,10.9,10.75,104.6,293.26
2016-01-31,11.1,10.75,103.2,275.56
2015-12-31,10.8,10.75,100.4,267.52
2015-11-30,10.5,10.75,102.6,261.63
2015-10-31,10.5,10.75,97.7,252.23
2015-09-30,10.3,10.75,98.2,312
2015-08-31,10.1,10.75,102.9,260.67
2015-07-31,9.8,10.75,104.8,233.88
2015-06-30,9.6,10.75,105.6,223.11
2015-05-31,9.3,10.75,111.3,208.37
2015-04-30,9.6,10.75,109.7,223.17
2015-03-31,10.6,10.75,103,215.2
2015-02-28,11.2,10.75,103.7,201.52
2015-01-31,11.3,11.25,101.7,183.42
2014-12-31,10.9,11.25,98.5,176.54
2014-11-30,10.7,11.25,99.2,161.42
2014-10-31,10.4,11.25,105.3,173.14
2014-09-30,10.5,11.25,104.5,205.46
2014-08-31,10.1,11.25,103.9,178.14
2014-07-31,9.8,12,107.3,183.89
2014-06-30,9.1,12,110.4,177.74
2014-05-31,8.8,12,113.5,180.46
2014-04-30,9,12,110.6,196.36
2014-03-31,9.7,12,106.4,211.26
2014-02-28,10.2,12,99.2,219.96
2014-01-31,10.3,12,95.8,267.6
2013-12-31,9.6,7.75,96.7,242.5
2013-11-30,9.3,7.75,98.7,202.84
2013-10-31,9.1,7.75,103.9,185.66
2013-09-30,9.2,7.75,104.7,211.76
2013-08-31,9,7.75,106.8,240.69
2013-07-31,8.6,7.25,109,207.95
2013-06-30,8.1,6.5,114.2,189.62
2013-05-31,8.2,6.5,114.3,130.991
2013-04-30,8.7,7,111.5,119.66
2013-03-31,9.4,7.5,111.9,141.169
2013-02-28,9.7,8.5,105.9,137.867
2013-01-31,9.7,8.75,101.9,133.141
2012-12-31,9.3,9,97.6,128.108
2012-11-30,8.6,9,101.9,130.47
2012-10-31,8.3,9.5,100.8,165.469
2012-09-30,8.3,10,103,163.509
2012-08-31,8,11.5,105.7,180.89
2012-07-31,7.6,11.5,109.1,187.55
2012-06-30,7.3,11.5,108.1,238.72
2012-05-31,7.6,11.5,114.3,290.8
2012-04-30,8.2,11.5,115.4,233.35
2012-03-31,9.1,11.5,112.6,228.54
2012-02-29,9.6,11.5,108.7,241.07
2012-01-31,9.3,12.5,102,275.76
2011-12-31,9,12.5,99.3,289.07
2011-11-30,8.4,12.5,102.4,275.185
2011-10-31,8.4,12.5,101.6,233.047
2011-09-30,8.2,9,111.6,290.15
2011-08-31,8.5,9,109.3,231.007
2011-07-31,8.6,9,112.6,189.072
2011-06-30,8.7,9,115.3,174.626
2011-05-31,8.9,9,117.9,163.687
2011-04-30,9.3,9,117,146.887
2011-03-31,10.1,9,114.5,156.894
2011-02-28,10.7,9,111.2,174.218
2011-01-31,11.1,9,113,166.166
2010-12-31,10.6,9,106.5,142
2010-11-30,10.2,8.75,106.8,155
2010-10-31,10.5,8.75,105.4,133.5
2010-09-30,10.6,8.75,109.4,160
2010-08-31,10.6,9,109.1,180.83
2010-07-31,9.9,9,109.9,164.5
2010-06-30,9.9,9,111.1,195.16
2010-05-31,10.3,9,114,174.75
2010-04-30,11.3,9,119.2,173.5
2010-03-31,12.8,9,110.4,172.333
2010-02-28,13.5,9,103.5,190.5
2010-01-31,13.6,9,102.3,193.5
2009-12-31,12.6,9,90.1,188
2009-11-30,12.2,9,90.7,208.9
2009-10-31,12.2,9.25,91.1,192.81
2009-09-30,12.5,9.75,96,192.81
2009-08-31,12.6,10.25,98.4,211.65
2009-07-31,12.1,10.75,100.4,208.81
2009-06-30,12.2,11.25,100,263.9
2009-05-31,12.7,11.75,99,273.4
2009-04-30,13.8,12.25,86.7,300.15
2009-03-31,14.7,13,69.9,386.65
2009-02-28,14.8,14,65.2,487.65
2009-01-31,14.1,15.5,60.1,427.85
2008-12-31,12.7,17.5,52.6,412.6
2008-11-30,11.6,18.75,54,420.25
2008-10-31,10.3,19.75,69.6,455.01
2008-09-30,9.8,20.25,88.4,260.88
2008-08-31,9.3,20.25,97.3,260.88
2008-07-31,9.1,20.25,97.9,260.88
2008-06-30,8.7,20.25,101.4,260.88
2008-05-31,8.4,19.75,104.4,260.88
2008-04-30,9.1,19.25,105.1,260.88
2008-03-31,10.1,19.25,106.1,307.33
2008-02-29,10.8,19.25,106.3,249.19
2008-01-31,10.4,19.5,106.7,188.36
